Name	z	Type	Mass	Mass_e	SFR	SFR_e	Sigma_M	Sigma_Merr	Sigma_SFR	SigmaSFR_err	r50_kpc	R50_err
PTF11qcc	0.043	II	9.73	0.12	-0.11	0.15	8.19	0.12	-1.65	0.15	6.11	0.12
PTF11qcm	0.050	II	10.60	0.19	0.61	0.19	8.43	0.19	-1.57	0.19	7.71	0.05
PTF11qgw	0.027	II	8.98	0.19	-0.27	0.29	7.16	0.19	-2.09	0.29	6.88	0.10
PTF11qju	0.028	II	9.12	0.18	-0.41	0.23	10.24	0.18	0.71	0.23	0.15	0.34
PTF12boj	0.037	II	10.58	0.16	0.57	0.17	8.53	0.16	-1.48	0.17	4.47	0.02
PTF12bpy	0.060	II	9.36	0.14	-0.15	0.22	8.70	0.14	-0.80	0.22	0.96	0.04
PTF12bwq	0.040	Ib	9.53	0.22	-0.11	0.27	7.07	0.22	-2.57	0.27	9.62	0.21
PTF12cdc	0.070	II	10.78	0.11	0.77	0.14	7.77	0.11	-2.25	0.14	15.31	0.16
PTF12cde	0.013	Ib/c	8.36	0.32	-1.17	0.38	7.03	0.32	-2.50	0.38	3.61	0.12
PTF12cgb	0.026	II	9.27	0.04	-0.14	0.12	7.99	0.04	-1.42	0.12	2.61	0.01
PTF12dke	0.067	II	9.91	0.08	0.46	0.15	7.40	0.08	-2.05	0.15	11.27	0.20
PTF12eje	0.078	II	9.92	0.07	0.49	0.18	7.82	0.07	-1.61	0.18	5.60	0.07
PTF12fes	0.036	Ib	10.55	0.04	0.99	0.07	7.98	0.04	-1.58	0.07	8.51	0.07
PTF12gcx	0.045	II	9.74	0.04	0.48	0.08	7.42	0.04	-1.84	0.08	7.16	0.09
PTF12gvr	0.056	Ib/c	10.60	0.03	1.08	0.08	8.07	0.03	-1.46	0.08	9.24	0.04
PTF12gzk	0.014	12gzk	7.47	0.11	-1.46	0.38	7.43	0.11	-1.50	0.38	0.54	0.05
