Transient	Type	z	N_id	F090W	F115W	F150W	F200W	F277W	F356W	F444W	F090W_AB	F090W_ABerr	F115W_AB	F115W_ABerr	F150W_AB	F150W_ABerr	F200W_AB	F200W_ABerr	F277W_AB	F277W_ABerr	F356W_AB	F356W_ABerr	F444W_AB	F444W_ABerr	F090W_M	F115W_M	F150W_M	F200W_M	F277W_M	F356W_M	F444W_M	M_blue	M_IR	blue	ir	offset_arc	offset_kpc	r50_arc	r50_kpc	R_norm
AT2024vqc	Unclassified	3.237	1073251.0	0.048	0.293	0.271	0.372	0.439	0.374	0.371	24.019	0.021	23.717	0.028	23.312	0.016	22.862	0.007	22.577	0.007	22.528	0.005	22.277	0.003	-21.688	-21.989	-22.395	-22.845	-23.129	-23.178	-23.429	-22.845	-23.178	0.372	0.374	0.441	3.39	0.254	1.958	1.731
AT2024vqd	Unclassified	2.77	1079559.0	0.287	0.692	0.445	0.086	0.262	0.486	0.496	26.637	0.064	26.531	0.108	25.842	0.077	25.575	0.039	25.5	0.033	25.555	0.025	25.455	0.022	-18.79	-18.896	-19.585	-19.852	-19.927	-19.872	-19.972	-19.852	-19.872	0.086	0.486	0.437	3.527	0.28	2.261	1.56
AT2024vqe	Unclassified	2.492	1030807.0	0.352	0.432	0.595	0.686	0.691	0.735	0.724	24.033	0.036	23.851	0.017	23.388	0.02	23.348	0.017	23.203	0.009	23.097	0.009	23.045	0.011	-21.2	-21.382	-21.845	-21.885	-22.03	-22.136	-22.188	-21.845	-22.136	0.595	0.735	0.147	1.215	0.428	3.544	0.343
AT2024vqf	Unclassified	2.492	1029463.0	0.717	0.839	0.780	0.894	0.963	0.759	1.0	24.499	0.041	24.388	0.021	24.206	0.029	24.332	0.022	24.4	0.03	24.211	0.019	24.268	0.015	-20.734	-20.845	-21.027	-20.901	-20.833	-21.022	-20.965	-21.027	-21.022	0.78	0.759	0.057	0.472	0.165	1.374	0.344
AT2024vqg	Unclassified	1.68	1014396.0	0.42	0.518	0.613	0.580	0.789	0.851	0.950	26.099	0.116	25.745	0.071	25.595	0.06	25.736	0.076	25.732	0.046	25.783	0.05	25.77	0.054	-18.378	-18.732	-18.882	-18.741	-18.745	-18.694	-18.707	-18.882	-18.745	0.613	0.789	0.083	0.725	0.153	1.328	0.546
AT2024vqh	Unclassified	1.58	1054795	-	0.198	0.044	0.019	0.046	0.630	1.0	27.887	0.149	27.693	0.181	28.679	0.448	28.0549	0.212	28.208	0.186	28.302	0.156	27.984	0.137	-16.467	-16.661	-15.676	-16.299	-16.147	-16.052	-16.37	-15.676	-16.299	0.044	0.046	0.441	3.39	0.114	0.989	3.428
AT2024vqi	Unclassified	1.245	1029365.0	0.958	0.946	0.902	0.855	0.842	0.914	0.835	22.171	0.009	21.49	0.006	20.987	0.004	20.622	0.003	20.137	0.002	19.962	0.002	19.954	0.002	-21.697	-22.378	-22.882	-23.246	-23.732	-23.907	-23.914	-22.378	-23.732	0.946	0.842	1471580900702749.0	1.26	0.383	3.275	0.385
AT2024vqj	Unclassified	1.21	1081661.0	0.0	0.092	0.193	0.103	0.232	0.121	0.118	26.024	0.058	25.731	0.046	25.705	0.032	25.788	0.04	25.7	0.035	25.763	0.029	25.829	0.039	-17.785	-18.078	-18.104	-18.021	-18.109	-18.046	-17.98	-18.078	-18.109	0.092	0.232	0.393	3.351	0.28	2.39	1.402
AT2024vqk	Unclassified	1.136	1026953.0	0.022	0.04	0.090	0.100	0.069	0.082	0.062	22.232	0.01	21.491	0.006	20.895	0.004	20.427	0.003	19.985	0.002	19.76	0.002	19.836	0.001	-21.445	-22.186	-22.782	-23.25	-23.692	-23.917	-23.842	-22.186	-23.692	0.04	0.069	1.525	12.877	0.473	3.993	3.225
AT2024vql	Unclassified	1.036	1033252.0	0.481	0.208	0.309	0.292	0.309	0.283	0.327	23.164	0.014	23.018	0.012	22.885	0.011	22.761	0.01	22.629	0.009	22.598	0.006	22.859	0.007	-20.319	-20.465	-20.597	-20.722	-20.853	-20.884	-20.624	-20.465	-20.853	0.208	0.309	0.498	4.135	0.407	3.376	1.225
AT2024vqm	Unclassified	1.01	1201144.0	0.082	0.165	0.228	0.181	0.24	0.33	0.19	23.176	0.014	22.993	0.016	22.944	0.016	22.741	0.015	22.47	0.013	22.51	0.014	22.695	0.012	-20.253	-20.436	-20.485	-20.688	-20.959	-20.919	-20.734	-20.436	-20.959	0.165	0.24	0.219	1.808			
AT2024vqn	Unclassified	0.858	1030764.0	0.467	0.632	0.661	0.624	0.623	0.61	0.619	21.557	0.006	20.989	0.003	20.625	0.005	20.255	0.003	19.954	0.003	20.002	0.002	20.287	0.002	-21.521	-22.089	-22.453	-22.823	-23.124	-23.076	-22.791	-21.521	-23.124	0.467	0.623	0.537	4.239	0.567	4.476	0.947
AT2024vqo	Unclassified	0.815	1025722.0	0.671	0.674	0.611	0.656	0.767	0.633	0.785	22.793	0.014	22.36	0.009	22.108	0.006	21.836	0.005	21.63	0.003	21.643	0.003	21.952	0.004	-20.173	-20.607	-20.859	-21.131	-21.336	-21.324	-21.014	-20.173	-21.336	0.671	0.767	0.127	0.989	0.181	1.408	0.702
AT2024vqp	Unclassified	0.746	1031070.0	0.272	0.265	0.270	0.276	0.372	0.339	0.320	22.438	0.011	22.136	0.006	21.963	0.009	21.825	0.004	21.62	0.003	21.793	0.004	22.121	0.004	-20.335	-20.637	-20.811	-20.949	-21.153	-20.98	-20.652	-20.335	-21.153	0.272	0.372	0.445	3.356	0.286	2.153	1.559
AT2024vqq	Unclassified	0.64	1030812.0	0.092	0.185	0.183	0.229	0.251	0.22	0.204	21.539	0.004	20.979	0.003	20.565	0.002	20.211	0.001	19.917	0.001	20.082	0.001	20.464	0.001	-20.897	-21.457	-21.871	-22.225	-22.519	-22.354	-21.972	-20.897	-22.519	0.092	0.251	0.685	4.858	0.246	1.743	2.787
AT2024vqr	Unclassified	0.6	1022040.0	0.521	0.652	0.773	0.606	0.531	0.678	0.809	23.702	0.028	23.435	0.031	23.416	0.045	23.22	0.017	23.157	0.038	23.396	0.022	23.654	3.4	-18.591	-18.858	-18.877	-19.073	-19.135	-18.897	-18.639	-18.591	-19.135	0.521	0.531	0.099	0.681	0.353	2.43	0.28
AT2024vqs	Unclassified	0.453	1076200.0	0.483	0.49	0.540	0.516	0.459	0.52	0.408	23.625	0.009	23.509	0.011	23.408	0.011	23.338	0.01	23.4	0.008	23.838	0.008	24.102	0.015	-18.04	-18.156	-18.257	-18.327	-18.265	-17.828	-17.563	-18.04	-18.265	0.483	0.459	0.424	2.526	0.377	2.246	1.125
